bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
59.0,598.0,598.0,0.0,100.0,0.0,35270.0,33793.0,1477.0,57.964973670217326,99.72991222147198,41.76493855125465,22.879485443466486,590800.0,675860.0,-85060.0
60.0,598.0,598.0,0.0,100.0,0.0,35868.0,34391.0,1477.0,58.990720252491464,99.72991222147198,40.73919196898051,23.28436018957346,590800.0,687820.0,-97020.0
61.0,598.0,598.0,0.0,100.0,0.0,36466.0,34989.0,1477.0,60.0164668347656,99.72991222147198,39.713445386706375,23.68923493568043,590800.0,699780.0,-108980.0
62.0,598.0,598.0,0.0,100.0,0.0,37064.0,35587.0,1477.0,61.04221341703974,99.72991222147198,38.68769880443224,24.09410968178741,590800.0,711740.0,-120940.0
63.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,37661.0,36183.0,1478.0,62.06452940873771,99.79743416610398,37.73290475736627,24.481055480378892,591200.0,723660.0,-132460.0
64.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,38259.0,36778.0,1481.0,63.0851301051476,100.0,36.9148698948524,24.833220796758948,592400.0,735560.0,-143160.0
65.0,598.0,598.0,0.0,100.0,0.0,38857.0,37376.0,1481.0,64.11087668742174,100.0,35.88912331257826,25.237002025658338,592400.0,747520.0,-155120.0
66.0,598.0,598.0,0.0,100.0,0.0,39455.0,37974.0,1481.0,65.13662326969587,100.0,34.863376730304125,25.640783254557732,592400.0,759480.0,-167080.0
67.0,598.0,598.0,0.0,100.0,0.0,40053.0,38572.0,1481.0,66.16236985197001,100.0,33.83763014802999,26.044564483457123,592400.0,771440.0,-179040.0
68.0,597.0,597.0,0.0,100.0,0.0,40650.0,39169.0,1481.0,67.18640113895607,100.0,32.81359886104393,26.447670492910195,592400.0,783380.0,-190980.0
69.0,598.0,598.0,0.0,100.0,0.0,41248.0,39767.0,1481.0,68.21214772123021,100.0,31.78785227876979,26.85145172180959,592400.0,795340.0,-202940.0
70.0,598.0,598.0,0.0,100.0,0.0,41846.0,40365.0,1481.0,69.23789430350435,100.0,30.762105696495652,27.25523295070898,592400.0,807300.0,-214900.0
71.0,598.0,598.0,0.0,100.0,0.0,42444.0,40963.0,1481.0,70.26364088577849,100.0,29.736359114221514,27.659014179608373,592400.0,819260.0,-226860.0
72.0,598.0,598.0,0.0,100.0,0.0,43042.0,41561.0,1481.0,71.28938746805262,100.0,28.710612531947376,28.062795408507764,592400.0,831220.0,-238820.0
73.0,597.0,597.0,0.0,100.0,0.0,43639.0,42158.0,1481.0,72.31341875503868,100.0,27.686581244961317,28.465901417960836,592400.0,843160.0,-250760.0
74.0,598.0,598.0,0.0,100.0,0.0,44237.0,42756.0,1481.0,73.33916533731282,100.0,26.66083466268718,28.86968264686023,592400.0,855120.0,-262720.0
75.0,598.0,598.0,0.0,100.0,0.0,44835.0,43354.0,1481.0,74.36491191958696,100.0,25.63508808041304,29.27346387575962,592400.0,867080.0,-274680.0
76.0,598.0,598.0,0.0,100.0,0.0,45433.0,43952.0,1481.0,75.3906585018611,100.0,24.609341498138903,29.677245104659015,592400.0,879040.0,-286640.0
77.0,598.0,598.0,0.0,100.0,0.0,46031.0,44550.0,1481.0,76.41640508413523,100.0,23.583594915864765,30.081026333558405,592400.0,891000.0,-298600.0
78.0,597.0,597.0,0.0,100.0,0.0,46628.0,45147.0,1481.0,77.4404363711213,100.0,22.559563628878706,30.484132343011478,592400.0,902940.0,-310540.0
79.0,598.0,598.0,0.0,100.0,0.0,47226.0,45745.0,1481.0,78.46618295339543,100.0,21.533817046604568,30.88791357191087,592400.0,914900.0,-322500.0
80.0,598.0,598.0,0.0,100.0,0.0,47824.0,46343.0,1481.0,79.49192953566957,100.0,20.50807046433043,31.291694800810262,592400.0,926860.0,-334460.0
81.0,598.0,598.0,0.0,100.0,0.0,48422.0,46941.0,1481.0,80.51767611794371,100.0,19.482323882056292,31.695476029709656,592400.0,938820.0,-346420.0
82.0,598.0,598.0,0.0,100.0,0.0,49020.0,47539.0,1481.0,81.54342270021785,100.0,18.456577299782154,32.09925725860905,592400.0,950780.0,-358380.0
83.0,597.0,597.0,0.0,100.0,0.0,49617.0,48136.0,1481.0,82.56745398720389,100.0,17.43254601279611,32.50236326806212,592400.0,962720.0,-370320.0
84.0,598.0,598.0,0.0,100.0,0.0,50215.0,48734.0,1481.0,83.59320056947803,100.0,16.40679943052197,32.90614449696151,592400.0,974680.0,-382280.0
85.0,598.0,598.0,0.0,100.0,0.0,50813.0,49332.0,1481.0,84.61894715175218,100.0,15.381052848247819,33.30992572586091,592400.0,986640.0,-394240.0
86.0,598.0,598.0,0.0,100.0,0.0,51411.0,49930.0,1481.0,85.64469373402632,100.0,14.355306265973681,33.7137069547603,592400.0,998600.0,-406200.0
87.0,598.0,598.0,0.0,100.0,0.0,52009.0,50528.0,1481.0,86.67044031630046,100.0,13.329559683699543,34.11748818365969,592400.0,1010560.0,-418160.0
88.0,597.0,597.0,0.0,100.0,0.0,52606.0,51125.0,1481.0,87.6944716032865,100.0,12.305528396713498,34.520594193112764,592400.0,1022500.0,-430100.0
89.0,598.0,598.0,0.0,100.0,0.0,53204.0,51723.0,1481.0,88.72021818556064,100.0,11.27978181443936,34.924375422012155,592400.0,1034460.0,-442060.0
