bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
24.0,256.0,254.0,2.0,99.21875,0.78125,6149.0,5529.0,620.0,22.147005808131382,94.65648854961832,72.50948274148693,8.917741935483871,248000.0,110580.0,137420.0
25.0,256.0,255.0,1.0,99.609375,0.390625,6405.0,5784.0,621.0,23.168435810134188,94.80916030534351,71.64072449520933,9.31400966183575,248400.0,115680.0,132720.0
26.0,256.0,254.0,2.0,99.21875,0.78125,6661.0,6038.0,623.0,24.185860204286,95.1145038167939,70.9286436125079,9.691813804173355,249200.0,120760.0,128440.0
27.0,256.0,255.0,1.0,99.609375,0.390625,6917.0,6293.0,624.0,25.207290206288803,95.26717557251908,70.05988536623028,10.084935897435898,249600.0,125860.0,123740.0
28.0,257.0,255.0,2.0,99.22178988326849,0.7782101167315147,7174.0,6548.0,626.0,26.22872020829161,95.57251908396947,69.34379887567786,10.460063897763579,250400.0,130960.0,119440.0
29.0,256.0,251.0,5.0,98.046875,1.953125,7430.0,6799.0,631.0,27.234127778890446,96.33587786259542,69.10175008370499,10.774960380348652,252400.0,135980.0,116420.0
30.0,256.0,256.0,0.0,100.0,0.0,7686.0,7055.0,631.0,28.25956338874424,96.33587786259542,68.07631447385118,11.180665610142631,252400.0,141100.0,111300.0
31.0,256.0,256.0,0.0,100.0,0.0,7942.0,7311.0,631.0,29.284998998598038,96.33587786259542,67.05087886399738,11.586370839936608,252400.0,146220.0,106180.0
32.0,256.0,256.0,0.0,100.0,0.0,8198.0,7567.0,631.0,30.310434608451832,96.33587786259542,66.0254432541436,11.992076069730587,252400.0,151340.0,101060.0
33.0,257.0,257.0,0.0,100.0,0.0,8455.0,7824.0,631.0,31.339875826156618,96.33587786259542,64.99600203643881,12.399366085578446,252400.0,156480.0,95920.0
34.0,256.0,253.0,3.0,98.828125,1.171875,8711.0,8077.0,634.0,32.35329461245744,96.79389312977099,64.44059851731356,12.739747634069401,253600.0,161540.0,92060.0
35.0,256.0,254.0,2.0,99.21875,0.78125,8967.0,8331.0,636.0,33.37071900660926,97.09923664122137,63.72851763461211,13.099056603773585,254400.0,166620.0,87780.0
36.0,256.0,254.0,2.0,99.21875,0.78125,9223.0,8585.0,638.0,34.38814340076107,97.40458015267176,63.01643675191069,13.456112852664576,255200.0,171700.0,83500.0
37.0,256.0,256.0,0.0,100.0,0.0,9479.0,8841.0,638.0,35.41357901061486,97.40458015267176,61.991001142056895,13.857366771159874,255200.0,176820.0,78380.0
38.0,257.0,257.0,0.0,100.0,0.0,9736.0,9098.0,638.0,36.44302022831965,97.40458015267176,60.96155992435211,14.260188087774294,255200.0,181960.0,73240.0
39.0,256.0,256.0,0.0,100.0,0.0,9992.0,9354.0,638.0,37.46845583817344,97.40458015267176,59.936124314498315,14.661442006269592,255200.0,187080.0,68120.0
40.0,256.0,256.0,0.0,100.0,0.0,10248.0,9610.0,638.0,38.49389144802724,97.40458015267176,58.910688704644514,15.06269592476489,255200.0,192200.0,63000.0
41.0,256.0,256.0,0.0,100.0,0.0,10504.0,9866.0,638.0,39.519327057881036,97.40458015267176,57.88525309479072,15.463949843260188,255200.0,197320.0,57880.0
42.0,256.0,256.0,0.0,100.0,0.0,10760.0,10122.0,638.0,40.54476266773483,97.40458015267176,56.859817484936926,15.865203761755486,255200.0,202440.0,52760.0
43.0,257.0,257.0,0.0,100.0,0.0,11017.0,10379.0,638.0,41.574203885439616,97.40458015267176,55.83037626723214,16.268025078369906,255200.0,207580.0,47620.0
44.0,256.0,256.0,0.0,100.0,0.0,11273.0,10635.0,638.0,42.59963949529341,97.40458015267176,54.804940657378346,16.669278996865202,255200.0,212700.0,42500.0
45.0,256.0,255.0,1.0,99.609375,0.390625,11529.0,10890.0,639.0,43.62106949729621,97.55725190839695,53.93618241110074,17.04225352112676,255600.0,217800.0,37800.0
46.0,256.0,256.0,0.0,100.0,0.0,11785.0,11146.0,639.0,44.64650510715001,97.55725190839695,52.91074680124694,17.44287949921753,255600.0,222920.0,32680.0
47.0,256.0,254.0,2.0,99.21875,0.78125,12041.0,11400.0,641.0,45.66392950130182,97.86259541984732,52.1986659185455,17.784711388455538,256400.0,228000.0,28400.0
48.0,257.0,257.0,0.0,100.0,0.0,12298.0,11657.0,641.0,46.69337071900661,97.86259541984732,51.169224700840715,18.185647425897034,256400.0,233140.0,23260.0
49.0,256.0,256.0,0.0,100.0,0.0,12554.0,11913.0,641.0,47.7188063288604,97.86259541984732,50.14378909098692,18.585023400936038,256400.0,238260.0,18140.0
50.0,256.0,252.0,4.0,98.4375,1.5625,12810.0,12165.0,645.0,48.728219507310236,98.47328244274809,49.74506293543785,18.86046511627907,258000.0,243300.0,14700.0
51.0,256.0,256.0,0.0,100.0,0.0,13066.0,12421.0,645.0,49.75365511716403,98.47328244274809,48.71962732558406,19.25736434108527,258000.0,248420.0,9580.0
52.0,256.0,254.0,2.0,99.21875,0.78125,13322.0,12675.0,647.0,50.77107951131584,98.77862595419847,48.007546442882635,19.590417310664606,258800.0,253500.0,5300.0
53.0,257.0,257.0,0.0,100.0,0.0,13579.0,12932.0,647.0,51.800520729020626,98.77862595419847,46.97810522517785,19.987635239567233,258800.0,258640.0,160.0
54.0,256.0,255.0,1.0,99.609375,0.390625,13835.0,13187.0,648.0,52.821950731023435,98.93129770992367,46.109346978900234,20.35030864197531,259200.0,263740.0,-4540.0
55.0,256.0,255.0,1.0,99.609375,0.390625,14091.0,13442.0,649.0,53.84338073302624,99.08396946564885,45.24058873262261,20.71186440677966,259600.0,268840.0,-9240.0
56.0,256.0,256.0,0.0,100.0,0.0,14347.0,13698.0,649.0,54.86881634288003,99.08396946564885,44.21515312276882,21.106317411402156,259600.0,273960.0,-14360.0
57.0,256.0,256.0,0.0,100.0,0.0,14603.0,13954.0,649.0,55.894251952733825,99.08396946564885,43.189717512915024,21.500770416024654,259600.0,279080.0,-19480.0
58.0,257.0,257.0,0.0,100.0,0.0,14860.0,14211.0,649.0,56.92369317043861,99.08396946564885,42.16027629521024,21.896764252696457,259600.0,284220.0,-24620.0
59.0,256.0,255.0,1.0,99.609375,0.390625,15116.0,14466.0,650.0,57.94512317244142,99.23664122137404,41.29151804893262,22.255384615384614,260000.0,289320.0,-29320.0
60.0,256.0,256.0,0.0,100.0,0.0,15372.0,14722.0,650.0,58.970558782295214,99.23664122137404,40.26608243907883,22.64923076923077,260000.0,294440.0,-34440.0
61.0,256.0,255.0,1.0,99.609375,0.390625,15628.0,14977.0,651.0,59.991988784298016,99.38931297709924,39.39732419280122,23.00614439324117,260400.0,299540.0,-39140.0
62.0,256.0,255.0,1.0,99.609375,0.390625,15884.0,15232.0,652.0,61.01341878630082,99.54198473282443,38.528565946523614,23.36196319018405,260800.0,304640.0,-43840.0
63.0,257.0,257.0,0.0,100.0,0.0,16141.0,15489.0,652.0,62.04286000400561,99.54198473282443,37.49912472881882,23.756134969325153,260800.0,309780.0,-48980.0
64.0,256.0,256.0,0.0,100.0,0.0,16397.0,15745.0,652.0,63.068295613859405,99.54198473282443,36.47368911896503,24.14877300613497,260800.0,314900.0,-54100.0
65.0,256.0,256.0,0.0,100.0,0.0,16653.0,16001.0,652.0,64.09373122371319,99.54198473282443,35.44825350911124,24.541411042944784,260800.0,320020.0,-59220.0
66.0,256.0,256.0,0.0,100.0,0.0,16909.0,16257.0,652.0,65.119166833567,99.54198473282443,34.42281789925744,24.9340490797546,260800.0,325140.0,-64340.0
67.0,256.0,255.0,1.0,99.609375,0.390625,17165.0,16512.0,653.0,66.1405968355698,99.69465648854961,33.55405965297982,25.28637059724349,261200.0,330240.0,-69040.0
68.0,257.0,257.0,0.0,100.0,0.0,17422.0,16769.0,653.0,67.17003805327458,99.69465648854961,32.52461843527503,25.679938744257274,261200.0,335380.0,-74180.0
69.0,256.0,256.0,0.0,100.0,0.0,17678.0,17025.0,653.0,68.19547366312838,99.69465648854961,31.49918282542123,26.07197549770291,261200.0,340500.0,-79300.0
70.0,256.0,256.0,0.0,100.0,0.0,17934.0,17281.0,653.0,69.22090927298217,99.69465648854961,30.473747215567442,26.464012251148546,261200.0,345620.0,-84420.0
71.0,256.0,256.0,0.0,100.0,0.0,18190.0,17537.0,653.0,70.24634488283597,99.69465648854961,29.44831160571364,26.85604900459418,261200.0,350740.0,-89540.0
72.0,256.0,256.0,0.0,100.0,0.0,18446.0,17793.0,653.0,71.27178049268977,99.69465648854961,28.42287599585984,27.248085758039817,261200.0,355860.0,-94660.0
73.0,257.0,257.0,0.0,100.0,0.0,18703.0,18050.0,653.0,72.30122171039456,99.69465648854961,27.393434778155054,27.641653905053598,261200.0,361000.0,-99800.0
74.0,256.0,256.0,0.0,100.0,0.0,18959.0,18306.0,653.0,73.32665732024834,99.69465648854961,26.367999168301267,28.033690658499236,261200.0,366120.0,-104920.0
75.0,256.0,255.0,1.0,99.609375,0.390625,19215.0,18561.0,654.0,74.34808732225115,99.8473282442748,25.49924092202366,28.380733944954127,261600.0,371220.0,-109620.0
76.0,256.0,256.0,0.0,100.0,0.0,19471.0,18817.0,654.0,75.37352293210495,99.8473282442748,24.47380531216986,28.77217125382263,261600.0,376340.0,-114740.0
77.0,256.0,256.0,0.0,100.0,0.0,19727.0,19073.0,654.0,76.39895854195875,99.8473282442748,23.448369702316057,29.16360856269113,261600.0,381460.0,-119860.0
78.0,257.0,257.0,0.0,100.0,0.0,19984.0,19330.0,654.0,77.42839975966353,99.8473282442748,22.41892848461127,29.5565749235474,261600.0,386600.0,-125000.0
79.0,256.0,256.0,0.0,100.0,0.0,20240.0,19586.0,654.0,78.45383536951732,99.8473282442748,21.393492874757484,29.948012232415902,261600.0,391720.0,-130120.0
80.0,256.0,256.0,0.0,100.0,0.0,20496.0,19842.0,654.0,79.47927097937112,99.8473282442748,20.368057264903683,30.339449541284402,261600.0,396840.0,-135240.0
81.0,256.0,256.0,0.0,100.0,0.0,20752.0,20098.0,654.0,80.50470658922491,99.8473282442748,19.342621655049896,30.730886850152906,261600.0,401960.0,-140360.0
82.0,256.0,256.0,0.0,100.0,0.0,21008.0,20354.0,654.0,81.53014219907871,99.8473282442748,18.317186045196095,31.122324159021407,261600.0,407080.0,-145480.0
83.0,257.0,257.0,0.0,100.0,0.0,21265.0,20611.0,654.0,82.5595834167835,99.8473282442748,17.28774482749131,31.515290519877677,261600.0,412220.0,-150620.0
84.0,256.0,255.0,1.0,99.609375,0.390625,21521.0,20866.0,655.0,83.5810134187863,100.0,16.4189865812137,31.85648854961832,262000.0,417320.0,-155320.0
85.0,256.0,256.0,0.0,100.0,0.0,21777.0,21122.0,655.0,84.6064490286401,100.0,15.3935509713599,32.24732824427481,262000.0,422440.0,-160440.0
86.0,256.0,256.0,0.0,100.0,0.0,22033.0,21378.0,655.0,85.63188463849389,100.0,14.368115361506113,32.638167938931296,262000.0,427560.0,-165560.0
87.0,256.0,256.0,0.0,100.0,0.0,22289.0,21634.0,655.0,86.65732024834769,100.0,13.342679751652312,33.02900763358779,262000.0,432680.0,-170680.0
88.0,257.0,257.0,0.0,100.0,0.0,22546.0,21891.0,655.0,87.68676146605247,100.0,12.313238533947526,33.42137404580153,262000.0,437820.0,-175820.0
89.0,256.0,256.0,0.0,100.0,0.0,22802.0,22147.0,655.0,88.71219707590627,100.0,11.287802924093725,33.81221374045801,262000.0,442940.0,-180940.0
90.0,256.0,256.0,0.0,100.0,0.0,23058.0,22403.0,655.0,89.73763268576006,100.0,10.262367314239938,34.203053435114505,262000.0,448060.0,-186060.0
91.0,256.0,256.0,0.0,100.0,0.0,23314.0,22659.0,655.0,90.76306829561386,100.0,9.236931704386137,34.59389312977099,262000.0,453180.0,-191180.0
92.0,256.0,256.0,0.0,100.0,0.0,23570.0,22915.0,655.0,91.78850390546765,100.0,8.21149609453235,34.98473282442748,262000.0,458300.0,-196300.0
93.0,257.0,257.0,0.0,100.0,0.0,23827.0,23172.0,655.0,92.81794512317244,100.0,7.182054876827564,35.37709923664122,262000.0,463440.0,-201440.0
94.0,256.0,256.0,0.0,100.0,0.0,24083.0,23428.0,655.0,93.84338073302624,100.0,6.156619266973763,35.76793893129771,262000.0,468560.0,-206560.0
95.0,256.0,256.0,0.0,100.0,0.0,24339.0,23684.0,655.0,94.86881634288004,100.0,5.131183657119962,36.1587786259542,262000.0,473680.0,-211680.0
96.0,256.0,256.0,0.0,100.0,0.0,24595.0,23940.0,655.0,95.89425195273382,100.0,4.105748047266175,36.54961832061068,262000.0,478800.0,-216800.0
97.0,256.0,256.0,0.0,100.0,0.0,24851.0,24196.0,655.0,96.91968756258763,100.0,3.080312437412374,36.940458015267176,262000.0,483920.0,-221920.0
98.0,257.0,257.0,0.0,100.0,0.0,25108.0,24453.0,655.0,97.94912878029241,100.0,2.050871219707588,37.332824427480915,262000.0,489060.0,-227060.0
99.0,256.0,256.0,0.0,100.0,0.0,25364.0,24709.0,655.0,98.9745643901462,100.0,1.0254356098538011,37.72366412213741,262000.0,494180.0,-232180.0
100.0,256.0,256.0,0.0,100.0,0.0,25620.0,24965.0,655.0,100.0,100.0,0.0,38.11450381679389,262000.0,499300.0,-237300.0
