,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
12,12.0,126.0,120.0,6.0,95.23809523809524,4.761904761904759,1516.0,1206.0,310.0,9.820047227424476,87.07865168539325,77.25860445796877,3.890322580645161,310.0,11075.0,46.0,1206.0,0.9009258526549023,0.09907414734509773,0.09820047227424476,3.890322580645161,0.8707865168539326,0.9017995277257552,0.20448548812664907,0.3311965811965812
13,13.0,127.0,120.0,7.0,94.48818897637796,5.511811023622045,1643.0,1326.0,317.0,10.79716635453139,89.04494382022472,78.24777746569333,4.182965299684542,317.0,10955.0,39.0,1326.0,0.8919838569280684,0.10801614307193164,0.1079716635453139,4.182965299684542,0.8904494382022472,0.8920283364546862,0.1929397443700548,0.3171585792896448
14,14.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,1769.0,1450.0,319.0,11.806856119208534,89.6067415730337,77.79988545382517,4.545454545454546,319.0,10831.0,37.0,1450.0,0.8823296668513096,0.11767033314869035,0.11806856119208534,4.545454545454546,0.8960674157303371,0.8819314388079147,0.18032786885245902,0.30023529411764704
15,15.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,1896.0,1576.0,320.0,12.832831202670793,89.88764044943821,77.05480924676742,4.925,320.0,10705.0,36.0,1576.0,0.8724380786579093,0.12756192134209068,0.1283283120267079,4.925,0.898876404494382,0.8716716879732921,0.16877637130801687,0.2841918294849023
16,16.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,2022.0,1700.0,322.0,13.842520967347935,90.4494382022472,76.60691723489926,5.279503105590062,322.0,10581.0,34.0,1700.0,0.8627838885811506,0.1372161114188494,0.13842520967347935,5.279503105590062,0.9044943820224719,0.8615747903265206,0.15924826904055392,0.27081581160639195
17,17.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2148.0,1823.0,325.0,14.844068072632522,91.29213483146067,76.44806675882815,5.609230769230769,325.0,10458.0,31.0,1823.0,0.8532879639154862,0.14671203608451372,0.1484406807263252,5.609230769230769,0.9129213483146067,0.8515593192736748,0.15130353817504655,0.2595846645367412
18,18.0,127.0,127.0,0.0,100.0,0.0,2275.0,1950.0,325.0,15.878185815487338,91.29213483146067,75.41394901597333,6.0,325.0,10331.0,31.0,1950.0,0.8432381103109915,0.15676188968900848,0.1587818581548734,6.0,0.9129213483146067,0.8412181418451267,0.14285714285714285,0.24705435195743058
19,19.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,2401.0,2072.0,329.0,16.871590261379367,92.41573033707866,75.54414007569929,6.297872340425532,329.0,10209.0,27.0,2072.0,0.8339004510564216,0.16609954894357837,0.16871590261379366,6.297872340425532,0.9241573033707865,0.8312840973862063,0.13702623906705538,0.23866521581429087
20,20.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,2527.0,2197.0,330.0,17.889422685449066,92.69662921348315,74.80720652803409,6.657575757575757,330.0,10084.0,26.0,2197.0,0.8240879955685685,0.1759120044314315,0.1788942268544907,6.657575757575757,0.9269662921348315,0.8211057731455094,0.13058963197467352,0.22892819979188347
21,21.0,127.0,127.0,0.0,100.0,0.0,2654.0,2324.0,330.0,18.923540428303884,92.69662921348315,73.77308878517927,7.042424242424242,330.0,9957.0,26.0,2324.0,0.8140381419640738,0.18596185803592624,0.18923540428303884,7.042424242424242,0.9269662921348315,0.8107645957169611,0.12434061793519216,0.21926910299003322
