,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
22,22.0,980.0,980.0,0.0,100.0,0.0,21560.0,21567.0,1.0,0.0015769200400283852,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-11.04254208702129,445.5877201573214
23,23.0,981.0,981.0,0.0,100.0,0.0,22563.0,22548.0,1.0,0.0016385556874141528,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-10.663501500188788,453.1685318939715
24,24.0,980.0,980.0,0.0,100.0,0.0,23520.0,23528.0,1.0,0.001700161001203239,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-10.370750838125414,459.023545135239
25,25.0,980.0,980.0,0.0,100.0,0.0,24500.0,24508.0,1.0,0.0017632703584682457,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-10.126795130613205,463.9026592854832
26,26.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,25506.0,25488.0,2.0,0.0018271264834745454,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-9.919325303071984,468.05205583630755
27,27.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,26460.0,26467.0,3.0,0.0018964537951709436,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-9.726297426731096,471.9126133631254
28,28.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,27440.0,27445.0,5.0,0.0019600902091990416,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-8.0,-9.571320201894904,475.01215785984914
29,29.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,28449.0,28425.0,6.0,0.0020241012870703817,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-9.432133553203654,477.7958908336742
30,30.0,980.0,980.0,0.0,100.0,0.0,29400.0,29405.0,6.0,0.0020846551679286427,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-9.312935571689328,480.1798504639607
31,31.0,980.0,980.0,0.0,100.0,0.0,30380.0,30385.0,6.0,0.0021435703212001117,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-9.206613626024414,482.30628937725896
32,32.0,981.0,981.0,0.0,100.0,0.0,31392.0,31366.0,6.0,0.0022070563693322295,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-9.10102966287661,484.41796864021507
33,33.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,32340.0,32345.0,7.0,0.0022692348481950383,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-9.005335146289033,486.3318589719666
34,34.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,33354.0,33325.0,8.0,0.0023277775375284684,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-8.921262816188278,488.0133055739817
35,35.0,980.0,980.0,0.0,100.0,0.0,34300.0,34305.0,8.0,0.0023963386686019768,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-8.829265065802874,489.8532605816898
36,36.0,980.0,980.0,0.0,100.0,0.0,35280.0,35285.0,8.0,0.0024626511480982543,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-8.746088875355928,491.5167843906287
37,37.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,36297.0,36263.0,11.0,0.0025166615841260903,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-8.0,-8.682073343242983,492.79709503288757
38,38.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,37240.0,37242.0,12.0,0.0025816293257456494,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.609032690585826,494.25790808603074
39,39.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,38220.0,38221.0,13.0,0.0026450490295057555,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.541489001275423,495.6087818722388
40,40.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,39240.0,39201.0,14.0,0.0027228613713542117,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-8.463147029959725,497.17562129855276
41,41.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,40180.0,40180.0,15.0,0.0028081559743854813,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.382375564977586,498.7910505981955
42,42.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,41202.0,41160.0,16.0,0.0028948188146005727,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-8.305149952821026,500.33556284132675
43,43.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,42140.0,42139.0,17.0,0.002989010354144777,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.226115085673195,501.9162601842834
44,44.0,980.0,980.0,0.0,100.0,0.0,43120.0,43119.0,17.0,0.0030783953119871833,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-8.155313240928168,503.33229707918395
45,45.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,44145.0,44098.0,19.0,0.003167779822577718,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-8.088170383952669,504.6751542186939
46,46.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,45080.0,45077.0,20.0,0.0032534544603140766,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.0269143322469,505.90027525280925
47,47.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,46060.0,46056.0,21.0,0.0033501899129966517,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.961050784007306,507.2175462176011
48,48.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,47088.0,47034.0,24.0,0.00346214788319078,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-8.0,-7.88876760745245,508.66320974869825
49,49.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,48020.0,48011.0,27.0,0.003565390157793348,0.30612244897959184,0.00307164790174002,-8.346771433032185,-8.0,-7.8254939831708485,509.92868223433027
50,50.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,49000.0,48990.0,28.0,0.003677334771612995,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.7601949840977715,511.23466221579184
51,51.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,50031.0,49968.0,31.0,0.003791666516028968,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-8.0,-7.6967224839933035,512.5041122178811
52,52.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,50960.0,50947.0,32.0,0.00391528228050439,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.6314085203448,513.8103914908512
53,53.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,51993.0,51925.0,35.0,0.004038251892587465,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-8.0,-7.569532480581695,515.0479122861134
54,54.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,52920.0,52901.0,39.0,0.004166716901168359,0.40816326530612246,0.00409938524590164,-7.930376708879371,-7.930376708879371,-7.507885067201602,516.2808605537152
55,55.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,53900.0,53878.0,42.0,0.004293422726156949,0.30612244897959184,0.00307164790174002,-8.346771433032185,-7.930376708879371,-7.449811871832948,517.4423244610883
56,56.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,54936.0,54857.0,44.0,0.004416856206270987,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-7.930376708879371,-7.3956230455831555,518.5261009860841
57,57.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,55860.0,55834.0,47.0,0.004544696446652279,0.30612244897959184,0.00307164790174002,-8.346771433032185,-7.930376708879371,-7.341777814539811,519.603005606951
58,58.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,56840.0,56812.0,49.0,0.004682439568686194,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-7.930376708879371,-7.28614705509665,520.7156207958143
59,59.0,981.0,977.0,4.0,99.59225280326197,0.40774719673802906,57879.0,57789.0,53.0,0.004826380542188357,0.4077471967380224,0.004095189355168885,-7.93185412328487,-7.930376708879371,-7.230442237973366,521.8297171382799
60,60.0,980.0,980.0,0.0,100.0,0.0,58800.0,58769.0,53.0,0.004974701662066791,0.0,1.020408163265306e-06,-19.902422223664658,-7.930376708879371,-7.175426906338137,522.9300237709845
61,61.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,59841.0,59747.0,56.0,0.0051190184402926985,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-7.930376708879371,-7.1240347611509245,523.9578666747287
62,62.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,60760.0,60726.0,57.0,0.0052660253553043586,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-7.930376708879371,-7.073685200656082,524.9648578846256
63,63.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,61740.0,61702.0,61.0,0.005422355473986164,0.40816326530612246,0.00409938524590164,-7.930376708879371,-7.930376708879371,-7.022190246875486,525.9947569602375
64,64.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,62784.0,62681.0,63.0,0.0055840091518547085,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-7.930376708879371,-6.970993979735775,527.0186823030317
65,65.0,980.0,975.0,5.0,99.48979591836735,0.5102040816326507,63700.0,63656.0,68.0,0.005761460990690419,0.5102040816326531,0.00512923076923077,-7.607041803591487,-7.607041803591487,-6.917011437714609,528.0983331434551
66,66.0,980.0,972.0,8.0,99.18367346938776,0.816326530612244,64680.0,64628.0,76.0,0.005951395559249255,0.8163265306122449,0.00823148148148148,-6.924632177995786,-6.924632177995786,-6.861599294659359,529.20657600456
67,67.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,65727.0,65604.0,81.0,0.006141688792948746,0.509683995922528,0.0051239754098360655,-7.6085207325174,-6.924632177995786,-6.808341366855697,530.2717345606333
68,68.0,980.0,980.0,0.0,100.0,0.0,66640.0,66584.0,81.0,0.006348578408650404,0.0,1.020408163265306e-06,-19.902422223664658,-6.924632177995786,-6.752796961308239,531.3826226715825
